,domain,ads,imgratio,inlinks,misspelled,pageloadtime,brokenlinks,hyperlinks,responsive,lastmod,langcount,outlinks
domain,1.0,-0.04133852575587256,-0.023720126200095882,-0.0006093932663170413,-0.02714251587227269,0.004000129559485341,0.01355803264074162,0.048825151088476036,0.024726067985136355,-0.05923245478308152,0.004026541155976256,-0.016041941035758997
ads,-0.04133852575587256,1.0,-0.06492481140105365,-0.022023284454214177,0.0003054814118714831,-0.08285524909594102,0.16052441411705767,0.21385265030598186,0.3069410282797269,-0.1425116405713957,-0.05286820153768775,0.4921663037419962
imgratio,-0.023720126200095882,-0.06492481140105365,1.0,-0.05310362303907574,-0.01495222284498146,0.013023923359789413,0.1341382174307068,-0.007950290442325508,-0.07592367296978163,0.06561768165975013,-0.04080840632934313,-0.06455942273071627
inlinks,-0.0006093932663170413,-0.022023284454214177,-0.05310362303907574,1.0,-0.020476603658958082,-0.012210970109629477,-0.012560174680579538,0.01483466602303104,-0.03529293743695232,-0.017059631405340992,-0.018404144506221336,-0.034119355327465996
misspelled,-0.02714251587227269,0.0003054814118714831,-0.01495222284498146,-0.020476603658958082,1.0,-0.0662184064519968,0.017959070686598168,-0.09490740715342201,0.06916127278787321,-0.10692492284419194,0.614324172047502,0.07959221005084581
pageloadtime,0.004000129559485341,-0.08285524909594102,0.013023923359789413,-0.012210970109629477,-0.0662184064519968,1.0,-0.05496244923763844,-0.09001425470372514,-0.05940363881713822,0.05241040568900661,-0.049472985355529506,-0.08102727259430385
brokenlinks,0.01355803264074162,0.16052441411705767,0.1341382174307068,-0.012560174680579538,0.017959070686598168,-0.05496244923763844,1.0,0.12340057785540712,0.08285941465102308,-0.10222381597359173,0.02882442140751194,0.15677842644027218
hyperlinks,0.048825151088476036,0.21385265030598186,-0.007950290442325508,0.01483466602303104,-0.09490740715342201,-0.09001425470372514,0.12340057785540712,1.0,0.2916195471173852,-0.18030010696665,-0.15516252379873738,0.19515908183382671
responsive,0.024726067985136355,0.3069410282797269,-0.07592367296978163,-0.03529293743695232,0.06916127278787321,-0.05940363881713822,0.08285941465102308,0.2916195471173852,1.0,-0.14804498845762828,-0.12322407324030324,0.27528496216650483
lastmod,-0.05923245478308152,-0.1425116405713957,0.06561768165975013,-0.017059631405340992,-0.10692492284419194,0.05241040568900661,-0.10222381597359173,-0.18030010696665,-0.14804498845762828,1.0,-0.06957026277031819,-0.1904920575739904
langcount,0.004026541155976256,-0.05286820153768775,-0.04080840632934313,-0.018404144506221336,0.614324172047502,-0.049472985355529506,0.02882442140751194,-0.15516252379873738,-0.12322407324030324,-0.06957026277031819,1.0,0.007424660545091687
outlinks,-0.016041941035758997,0.4921663037419962,-0.06455942273071627,-0.034119355327465996,0.07959221005084581,-0.08102727259430385,0.15677842644027218,0.19515908183382671,0.27528496216650483,-0.1904920575739904,0.007424660545091687,1.0
